missing_value,normalization,fselection,outlier,whitespace,punctuation,stopword,deduplication,model,utility_rmse
1,1,1,6,2,2,2,2,1,263.5120597949679
1,1,1,7,1,1,1,1,1,166.35261258573468
1,1,1,7,1,1,1,2,1,262.9463718450839
1,1,1,7,1,1,2,1,1,166.35261258573468
1,1,1,7,1,1,2,2,1,262.9463718450839
1,1,1,7,1,2,1,1,1,166.35261258573468
1,1,1,7,1,2,1,2,1,262.9463718450839
1,1,1,7,1,2,2,1,1,166.35261258573468
1,1,1,7,1,2,2,2,1,262.9463718450839
1,1,1,7,2,1,1,1,1,166.35261258573468
1,1,1,7,2,1,1,2,1,262.9463718450839
1,1,1,7,2,1,2,1,1,166.35261258573468
1,1,1,7,2,1,2,2,1,262.9463718450839
1,1,1,7,2,2,1,1,1,166.35261258573468
1,1,1,7,2,2,1,2,1,262.9463718450839
1,1,1,7,2,2,2,1,1,166.35261258573468
1,1,1,7,2,2,2,2,1,262.9463718450839
1,1,1,8,1,1,1,1,1,164.63586693626624
1,1,1,8,1,1,1,2,1,257.1940415503809
1,1,1,8,1,1,2,1,1,164.63586693626624
1,1,1,8,1,1,2,2,1,257.1940415503809
1,1,1,8,1,2,1,1,1,164.63586693626624
1,1,1,8,1,2,1,2,1,257.1940415503809
1,1,1,8,1,2,2,1,1,164.63586693626624
1,1,1,8,1,2,2,2,1,257.1940415503809
1,1,1,8,2,1,1,1,1,164.63586693626624
1,1,1,8,2,1,1,2,1,257.1940415503809
1,1,1,8,2,1,2,1,1,164.63586693626624
1,1,1,8,2,1,2,2,1,257.1940415503809
1,1,1,8,2,2,1,1,1,164.63586693626624
1,1,1,8,2,2,1,2,1,257.1940415503809
1,1,1,8,2,2,2,1,1,164.63586693626624
1,1,1,8,2,2,2,2,1,257.1940415503809
1,2,1,1,1,1,1,1,1,188.79983416185627
1,2,1,1,1,1,1,2,1,282.4841684920953
1,2,1,1,1,1,2,1,1,188.79983416185627
1,2,1,1,1,1,2,2,1,282.4841684920953
1,2,1,1,1,2,1,1,1,188.79983416185627
1,2,1,1,1,2,1,2,1,282.4841684920953
1,2,1,1,1,2,2,1,1,188.79983416185627
1,2,1,1,1,2,2,2,1,282.4841684920953
1,2,1,1,2,1,1,1,1,188.79983416185627
1,2,1,1,2,1,1,2,1,282.4841684920953
1,2,1,1,2,1,2,1,1,188.79983416185627
1,2,1,1,2,1,2,2,1,282.4841684920953
1,2,1,1,2,2,1,1,1,188.79983416185627
1,2,1,1,2,2,1,2,1,282.4841684920953
1,2,1,1,2,2,2,1,1,188.79983416185627
1,2,1,1,2,2,2,2,1,282.4841684920953
1,2,1,2,1,1,1,1,1,155.5133505394992
1,2,1,2,1,1,1,2,1,236.80777057481401
1,2,1,2,1,1,2,1,1,155.5133505394992
1,2,1,2,1,1,2,2,1,236.80777057481401
1,2,1,2,1,2,1,1,1,155.5133505394992
1,2,1,2,1,2,1,2,1,236.80777057481401
1,2,1,2,1,2,2,1,1,155.5133505394992
1,2,1,2,1,2,2,2,1,236.80777057481401
1,2,1,2,2,1,1,1,1,155.5133505394992
1,2,1,2,2,1,1,2,1,236.80777057481401
1,2,1,2,2,1,2,1,1,155.5133505394992
1,2,1,2,2,1,2,2,1,236.80777057481401
1,2,1,2,2,2,1,1,1,155.5133505394992
1,2,1,2,2,2,1,2,1,236.80777057481401
1,2,1,2,2,2,2,1,1,155.5133505394992
1,2,1,2,2,2,2,2,1,236.80777057481401
1,2,1,3,1,1,1,1,1,148.58902162389663
1,2,1,3,1,1,1,2,1,229.7484527766584
1,2,1,3,1,1,2,1,1,148.58902162389663
1,2,1,3,1,1,2,2,1,229.7484527766584
1,2,1,3,1,2,1,1,1,148.58902162389663
1,2,1,3,1,2,1,2,1,229.7484527766584
1,2,1,3,1,2,2,1,1,148.58902162389663
1,2,1,3,1,2,2,2,1,229.7484527766584
1,2,1,3,2,1,1,1,1,148.58902162389663
1,2,1,3,2,1,1,2,1,229.7484527766584
1,2,1,3,2,1,2,1,1,148.58902162389663
1,2,1,3,2,1,2,2,1,229.7484527766584
1,2,1,3,2,2,1,1,1,148.58902162389663
1,2,1,3,2,2,1,2,1,229.7484527766584
1,2,1,3,2,2,2,1,1,148.58902162389663
1,2,1,3,2,2,2,2,1,229.7484527766584
