missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
4,4,5,1,0.14062020264046668,0.14062020264046668,0.20951,2.00841,0.046508140583638696,3.081312410841655,450.15,0.45,93.83,0.31,88.19,0.3,381.21,0.29,2030.42,0.29,562.72,0.2,435.83,0.43,604.54,0.33,33.83,0.15,149.52,0.33,820.7,0.08,632.66,0.04,382.07,0.28,48.85,0.09,0.19366883027510307
4,4,6,1,0.14062020264046668,0.14062020264046668,0.205,2.03255,0.04532272625959933,3.09478021978022,463.56,0.46,92.65,0.31,89.2,0.32,392.58,0.29,2140.7,0.29,572.94,0.2,453.88,0.42,628.26,0.33,34.85,0.15,148.9,0.33,863.84,0.08,678.24,0.04,408.7,0.33,49.56,0.09,0.1925297627230486
4,4,7,1,0.14062020264046668,0.14062020264046668,0.20222,2.01375,0.04484993765912012,3.1969904240766076,502.7,0.4,93.05,0.31,76.54,0.31,372.04,0.28,2289.24,0.28,594.7,0.2,449.82,0.43,647.38,0.34,31.98,0.14,152.15,0.33,910.67,0.08,696.97,0.03,444.53,0.33,48.04,0.08,0.18090852460587475
4,4,8,1,0.14062020264046668,0.14062020264046668,0.20321,2.06423,0.044689746283716976,3.2247956403269753,520.87,0.45,94.62,0.31,72.15,0.3,380.42,0.28,2338.22,0.28,589.4,0.2,447.33,0.43,649.61,0.34,33.81,0.14,154.7,0.33,910.01,0.08,705.48,0.03,459.55,0.3,51.99,0.08,0.17968296194824387
4,5,1,1,0.14062020264046668,0.14062020264046668,0.19398,2.06975,0.04261884627251522,3.1810012836970474,40.56,0.43,103.98,0.32,113.65,0.27,412.33,0.29,2060.62,0.29,595.93,0.2,467.45,0.43,656.42,0.34,34.52,0.15,146.86,0.33,894.0,0.09,685.82,0.04,405.89,0.31,58.36,0.1,0.1678529551631018
4,5,2,1,0.14062020264046668,0.14062020264046668,0.22421,2.62309,0.04482060671460716,3.1153238546603474,14.92,0.43,79.69,0.28,109.41,0.3,295.17,0.24,1741.82,0.24,499.21,0.16,362.67,0.42,546.55,0.3,16.86,0.08,141.04,0.28,798.56,0.07,669.38,0.02,334.62,0.31,32.84,0.03,0.18425644194762078
4,5,3,1,0.14062020264046668,0.14062020264046668,0.19552,2.21622,0.041930417026623694,3.389344262295082,6.77,0.39,0.0,1.0,40.77,0.33,82.87,0.42,911.9,0.17,210.23,0.21,122.12,0.48,228.33,0.29,0.0,1.0,48.76,0.31,315.7,1.0,315.7,1.0,186.0,0.24,0.0,1.0,0.1002710027100271
4,5,4,1,0.14062020264046668,0.14062020264046668,0.20641,2.03769,0.04559959728323606,3.0775716694772344,24.66,0.44,80.18,0.31,103.66,0.29,311.4,0.28,1471.48,0.28,478.8,0.19,352.67,0.42,514.43,0.33,24.03,0.15,121.79,0.33,686.76,0.08,533.26,0.04,277.17,0.32,51.24,0.09,0.18396854804230772
4,5,5,1,0.14062020264046668,0.14062020264046668,0.20964,2.02513,0.046406802380603095,3.046218487394958,26.5,0.44,96.19,0.31,130.05,0.32,384.55,0.29,1736.41,0.29,551.36,0.2,436.53,0.42,599.39,0.33,33.45,0.15,149.88,0.33,833.69,0.08,645.63,0.04,319.14,0.32,49.65,0.09,0.19473786796753603
4,5,6,1,0.14062020264046668,0.14062020264046668,0.20671,2.02629,0.045748792637365976,3.08879781420765,27.72,0.42,94.73,0.31,127.21,0.33,382.12,0.29,1851.03,0.29,581.23,0.2,448.04,0.42,633.78,0.33,34.41,0.14,152.03,0.33,868.78,0.08,687.37,0.04,345.82,0.29,49.07,0.09,0.19398059290922706
4,5,7,1,0.14062020264046668,0.14062020264046668,0.20258,2.02557,0.04484063776168918,3.1863945578231294,32.94,0.45,94.32,0.31,113.35,0.28,383.89,0.28,1979.02,0.28,588.11,0.2,454.51,0.43,642.3,0.34,33.56,0.14,152.57,0.33,915.45,0.08,698.03,0.03,379.63,0.27,52.67,0.08,0.18432950520758754
4,5,8,1,0.14062020264046668,0.14062020264046668,0.20287,2.0479,0.04473738852282886,3.202156334231806,34.92,0.46,96.74,0.31,110.62,0.34,383.5,0.28,2011.92,0.28,596.02,0.2,446.22,0.43,653.1,0.34,35.13,0.14,154.89,0.33,921.26,0.08,709.85,0.03,391.56,0.36,58.37,0.09,0.1830420612312983
5,1,1,1,0.1357077064783543,0.1357077064783543,0.19124,2.08406,0.04191564385737143,3.1944809461235217,24278.99,0.41,100.88,0.0,10416.25,0.28,407.0,0.0,47218.34,0.29,605.67,0.0,461.73,0.0,637.1,0.0,35.06,0.0,139.82,0.0,68.65,0.09,135.76,0.04,31952.71,0.34,57.87,0.0,0.05812151874920213
5,1,2,1,0.1357077064783543,0.1357077064783543,0.2095,2.70537,0.041295998192549976,3.269230769230769,22073.35,0.4,77.96,0.0,9525.17,0.3,258.99,0.0,47521.95,0.24,492.66,0.0,345.81,0.0,518.94,0.0,16.54,0.0,121.92,0.0,119.97,0.07,40.59,0.02,33001.41,0.31,39.83,0.0,0.08735525143736335
5,1,3,1,0.1357077064783543,0.1357077064783543,0.17752,2.09422,0.0388500842331883,3.836104513064133,18458.67,0.4,49.84,0.0,8864.65,0.38,218.0,0.0,44325.14,0.24,386.83,0.0,264.22,0.0,403.96,0.0,24.36,0.0,84.49,0.0,530.49,1.0,530.49,1.0,122136.33,0.23,41.51,0.0,0.008066401683422961
5,1,4,1,0.1357077064783543,0.1357077064783543,0.20497,2.05196,0.04517278646031021,3.1805555555555554,19048.12,0.48,83.44,0.0,8103.39,0.29,308.86,0.0,36963.18,0.28,465.01,0.0,355.83,0.0,491.29,0.0,29.54,0.0,121.34,0.0,50.85,0.08,74.67,0.03,26109.68,0.29,55.23,0.0,0.06464582888089865
5,1,5,1,0.1357077064783543,0.1357077064783543,0.18242,2.04107,0.0402748352400977,3.5896147403685092,20550.03,0.46,88.34,0.0,9120.4,0.31,348.31,0.0,40778.75,0.29,499.07,0.0,396.83,0.0,526.51,0.0,34.15,0.0,117.02,0.0,35.91,0.04,14.3,0.01,27890.1,0.26,56.74,0.0,0.02444085147371146
5,1,6,1,0.1357077064783543,0.1357077064783543,0.17352,2.02766,0.038396071568396216,3.9153713298791017,21114.85,0.43,81.21,0.0,9408.56,0.29,332.96,0.0,42457.25,0.29,502.1,0.0,403.75,0.0,527.65,0.0,28.69,0.0,115.9,0.0,22.53,0.02,21.75,0.01,28029.79,0.32,53.01,0.0,0.01791319684758099
5,1,7,1,0.1357077064783543,0.1357077064783543,0.16489,1.99064,0.03671135469405571,4.155913978494624,21205.78,0.43,75.11,0.0,9865.36,0.29,323.72,0.0,42950.7,0.29,507.55,0.0,391.29,0.0,532.27,0.0,29.31,0.0,110.31,0.0,23.23,0.02,52.5,0.02,28452.39,0.31,51.93,0.0,0.034059807950147375
5,1,8,1,0.1357077064783543,0.1357077064783543,0.17007,2.0114,0.037733788363561435,4.116197183098592,21398.93,0.42,72.06,0.0,10686.98,0.35,316.89,0.0,43688.37,0.29,514.76,0.0,385.89,0.0,542.44,0.0,25.6,0.0,117.47,0.0,35.76,0.02,81.06,0.03,28618.04,0.25,53.89,0.0,0.004442985160685829
