missing_value,normalization,outlier,out_before_out_strat,out_before_norm_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,fairness
2,4,2,0.5046692607003891,0.4961089494163424,0.65136,34.03573,30.0,0.47839,30.0,5.29391,30.0,0.2305,30.0,9.7417,30.0,11.98619,30.0,169.07408,30.0,10.61263,30.0,0.06948304613674261
2,4,3,0.5046692607003891,0.4961089494163424,0.77004,40.86914,15.9533,1.80604,15.9533,12.19375,15.9533,4.63354,15.9533,18.03123,15.9533,15.36615,15.9533,226.95946,15.9533,40.80195,15.9533,0.08379629629629626
2,4,4,0.5046692607003891,0.4961089494163424,0.64241,32.33193,30.0,0.62581,30.0,12.81584,30.0,2.89368,30.0,11.60542,30.0,23.04009,30.0,130.89815,30.0,49.34238,30.0,0.08226792662590332
2,4,5,0.5046692607003891,0.4961089494163424,0.64903,37.32215,30.0,0.0,30.0,14.0162,30.0,4.20529,30.0,12.84639,30.0,17.46701,30.0,25.45015,30.0,17.10475,30.0,0.07281823235130624
2,4,6,0.5046692607003891,0.4961089494163424,0.64475,44.56523,30.0,0.06232,30.0,8.57081,30.0,4.40612,30.0,0.35963,30.0,19.63515,30.0,105.27,30.0,25.15956,30.0,0.07893274041133969
2,4,7,0.5046692607003891,0.4961089494163424,0.64669,45.18495,29.9611,0.26218,29.9611,16.95551,29.9611,6.99607,29.9611,0.35711,29.9611,25.24404,29.9611,127.61879,29.9611,25.0808,29.9611,0.07666666666666666
2,4,8,0.5046692607003891,0.4961089494163424,0.64553,37.29662,29.8833,0.08511,29.8833,16.16579,29.8833,6.75412,29.8833,3.37036,29.8833,22.56312,29.8833,130.19135,29.8833,24.01193,29.8833,0.0793562708102109
2,4,9,0.5046692607003891,0.4961089494163424,0.64047,60.88736,30.0,1.73198,30.0,28.54881,30.0,2.60866,30.0,3.36891,30.0,30.0664,30.0,194.56216,30.0,43.51333,30.0,0.08504724847137302
2,4,10,0.5046692607003891,0.4961089494163424,0.6428,43.32168,30.0,1.11788,30.0,23.39959,30.0,0.0,30.0,1.36963,30.0,25.7323,30.0,229.32388,30.0,62.52812,30.0,0.08171206225680938
2,4,11,0.5046692607003891,0.4961089494163424,0.63774,51.06579,30.0,1.63126,30.0,21.7433,30.0,0.66376,30.0,1.4153,30.0,19.46306,30.0,285.89989,30.0,59.25058,30.0,0.08893829905503059
2,5,1,0.49571984435797667,0.4961089494163424,0.89844,53.79062,0.0,0.82577,0.0,8.58089,0.0,2.73579,0.0,26.60844,0.0,22.06241,0.0,356.61104,0.0,82.63362,0.0,0.10116731517509725
2,5,2,0.49571984435797667,0.4961089494163424,0.65136,34.03573,30.0,0.47839,30.0,5.29391,30.0,0.2305,30.0,9.7417,30.0,11.98619,30.0,169.07408,30.0,10.61263,30.0,0.06948304613674261
2,5,3,0.49571984435797667,0.4961089494163424,0.76965,38.03925,16.0311,2.07779,16.0311,12.21714,16.0311,5.33362,16.0311,18.07274,16.0311,16.08582,16.0311,235.47669,16.0311,41.88698,16.0311,0.08341056533827618
2,5,4,0.49571984435797667,0.4961089494163424,0.64397,34.91766,29.9222,1.50777,29.9222,11.00387,29.9222,0.99481,29.9222,6.82152,29.9222,17.94528,29.9222,137.92677,29.9222,51.34907,29.9222,0.08106607440310942
2,5,5,0.49571984435797667,0.4961089494163424,0.64864,44.92309,30.0,0.05776,30.0,14.52497,30.0,4.25896,30.0,13.19657,30.0,21.14481,30.0,59.63011,30.0,18.27089,30.0,0.07337409672040018
2,5,6,0.49571984435797667,0.4961089494163424,0.64747,46.11068,29.9611,0.24149,29.9611,11.04607,29.9611,5.41244,29.9611,1.24144,29.9611,20.60459,29.9611,77.53333,29.9611,19.48457,29.9611,0.0755555555555556
2,5,7,0.49571984435797667,0.4961089494163424,0.64903,43.79507,30.0,0.00458,30.0,12.15136,30.0,9.39898,30.0,1.41208,30.0,22.24831,30.0,82.54256,30.0,24.48144,30.0,0.07281823235130624
2,5,8,0.49571984435797667,0.4961089494163424,0.64241,42.06167,30.0,1.05994,30.0,14.59161,30.0,6.60367,30.0,0.48911,30.0,18.20671,30.0,114.97512,30.0,23.23324,30.0,0.08226792662590332
2,5,9,0.49571984435797667,0.4961089494163424,0.64125,63.34957,29.9611,2.10986,29.9611,30.20398,29.9611,0.66224,29.9611,2.62437,29.9611,39.14663,29.9611,211.33959,29.9611,46.22689,29.9611,0.08444444444444443
2,5,10,0.49571984435797667,0.4961089494163424,0.64241,48.7264,30.0,4.06881,30.0,26.14017,30.0,0.22688,30.0,1.07756,30.0,22.66622,30.0,254.00835,30.0,61.29664,30.0,0.08226792662590332
2,5,11,0.49571984435797667,0.4961089494163424,0.64086,57.18381,29.8054,2.28357,29.8054,22.07789,29.8054,0.99204,29.8054,1.35185,29.8054,21.97308,29.8054,301.0925,29.8054,46.46721,29.8054,0.08702882483370289
3,1,1,0.4961089494163424,0.4961089494163424,0.89844,53.79062,0.0,0.82577,0.0,8.58089,0.0,2.73579,0.0,26.60844,0.0,22.06241,0.0,356.61104,0.0,82.63362,0.0,0.10038910505836574
