2025-10-12 11:05:56,129 - DEBUG - [GridSearch] iter=11 | order=['missing_value', 'outlier', 'punctuation', 'stopword', 'normalization', 'deduplication', 'whitespace', 'model'] | vec=[9, 1, 2, 2, 3, 2, 2, 1] | utility=282.48
2025-10-12 11:05:56,342 - DEBUG - [GridSearch] iter=12 | order=['normalization', 'deduplication', 'model'] | vec=[2, 2, 1] | utility=282.48
2025-10-12 11:05:56,554 - DEBUG - [GridSearch] iter=13 | order=['normalization', 'punctuation', 'whitespace', 'deduplication', 'stopword', 'model'] | vec=[5, 2, 1, 2, 2, 1] | utility=282.48
2025-10-12 11:05:56,780 - DEBUG - [GridSearch] iter=14 | order=['deduplication', 'missing_value', 'punctuation', 'whitespace', 'outlier', 'normalization', 'model'] | vec=[2, 3, 2, 1, 7, 5, 1] | utility=278.58
2025-10-12 11:05:56,789 - DEBUG - [GridSearch] iter=15 | order=['missing_value', 'deduplication', 'model'] | vec=[6, 2, 1] | utility=282.48
2025-10-12 11:05:56,863 - DEBUG - [GridSearch] iter=16 | order=['punctuation', 'normalization', 'whitespace', 'stopword', 'model'] | vec=[1, 3, 1, 1, 1] | utility=188.80
2025-10-12 11:05:56,961 - DEBUG - [GridSearch] iter=17 | order=['outlier', 'model'] | vec=[4, 1] | utility=183.19
2025-10-12 11:05:56,965 - DEBUG - [GridSearch] iter=18 | order=['whitespace', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:57,120 - DEBUG - [GridSearch] iter=19 | order=['outlier', 'missing_value', 'normalization', 'punctuation', 'model'] | vec=[8, 5, 5, 1, 1] | utility=164.64
2025-10-12 11:05:57,132 - DEBUG - [GridSearch] iter=20 | order=['punctuation', 'deduplication', 'stopword', 'model'] | vec=[1, 2, 1, 1] | utility=282.48
2025-10-12 11:05:57,148 - DEBUG - [GridSearch] iter=21 | order=['missing_value', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:57,340 - DEBUG - [GridSearch] iter=22 | order=['outlier', 'punctuation', 'whitespace', 'stopword', 'missing_value', 'normalization', 'deduplication', 'model'] | vec=[7, 1, 2, 2, 2, 3, 1, 1] | utility=166.35
