,init pf,init block clean threshold,init weighting schema,init matching threshold,historical data size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
208,0,0.82143,2,0.05,36,22,0.96071,37,0.95808,225,0.96071,23.0,0.96036
209,0,0.82143,2,0.17857,36,22,0.96071,37,0.95808,226,0.96071,23.0,0.96036
210,0,0.82143,2,0.30714,36,22,0.96071,38,0.95808,226,0.96071,23.0,0.96036
211,0,0.82143,2,0.43571,36,22,0.96071,37,0.95808,272,0.95808,23.0,0.96036
212,0,0.82143,2,0.56429,36,17,0.96402,16,0.95808,271,0.95808,23.0,0.96036
213,0,0.82143,2,0.69286,36,1,0.96071,1,0.96071,7,0.96071,23.0,0.96036
214,0,0.82143,2,0.82143,36,15,0.96071,15,0.96071,271,0.95808,23.0,0.96036
215,0,0.82143,2,0.95,36,14,0.96071,16,0.96071,226,0.96071,23.0,0.96036
216,0,0.82143,3,0.05,36,21,0.96071,34,0.95808,222,0.96071,23.0,0.96036
217,0,0.82143,3,0.17857,36,21,0.96071,35,0.95808,224,0.96071,23.0,0.96036
218,0,0.82143,3,0.30714,36,22,0.96071,36,0.95808,223,0.96071,23.0,0.96036
219,0,0.82143,3,0.43571,36,15,0.96071,15,0.95808,222,0.96071,23.0,0.96036
220,0,0.82143,3,0.56429,36,17,0.96402,15,0.96359,266,0.95808,23.0,0.96036
221,0,0.82143,3,0.69286,36,1,0.96071,1,0.96071,7,0.96071,23.0,0.96036
222,0,0.82143,3,0.82143,36,14,0.96071,15,0.96071,266,0.95808,23.0,0.96036
223,0,0.82143,3,0.95,36,15,0.96071,15,0.96071,222,0.96071,23.0,0.96036
224,0,0.95,0,0.05,36,23,0.96071,36,0.95808,220,0.96071,23.0,0.96036
225,0,0.95,0,0.17857,36,21,0.96071,36,0.95808,222,0.96071,23.0,0.96036
226,0,0.95,0,0.30714,36,23,0.96071,37,0.95808,221,0.96071,23.0,0.96036
227,0,0.95,0,0.43571,36,21,0.96071,36,0.95808,222,0.96071,23.0,0.96036
228,0,0.95,0,0.56429,36,17,0.96402,16,0.96359,265,0.95808,23.0,0.96036
229,0,0.95,0,0.69286,36,1,0.96062,1,0.96062,7,0.96071,23.0,0.96036
230,0,0.95,0,0.82143,36,15,0.96071,14,0.96062,266,0.95808,23.0,0.96036
231,0,0.95,0,0.95,36,14,0.96071,17,0.96071,221,0.96071,23.0,0.96036
232,0,0.95,1,0.05,36,21,0.96071,36,0.95808,221,0.96071,23.0,0.96036
233,0,0.95,1,0.17857,36,22,0.96071,38,0.95808,223,0.96071,23.0,0.96036
234,0,0.95,1,0.30714,36,22,0.96071,37,0.95808,222,0.96071,23.0,0.96036
235,0,0.95,1,0.43571,36,17,0.95935,16,0.95808,222,0.96071,23.0,0.96036
236,0,0.95,1,0.56429,36,17,0.96165,15,0.96165,265,0.95808,23.0,0.96036
237,0,0.95,1,0.69286,36,1,0.9607,1,0.9607,7,0.96071,23.0,0.96036
238,0,0.95,1,0.82143,36,14,0.96071,17,0.96071,265,0.95808,23.0,0.96036
239,0,0.95,1,0.95,36,15,0.96071,16,0.96062,222,0.96071,23.0,0.96036
240,0,0.95,2,0.05,36,22,0.96071,37,0.95808,221,0.96071,23.0,0.96036
241,0,0.95,2,0.17857,36,22,0.96071,37,0.95808,223,0.96071,23.0,0.96036
242,0,0.95,2,0.30714,36,22,0.96071,38,0.95808,222,0.96071,23.0,0.96036
243,0,0.95,2,0.43571,36,22,0.96071,37,0.95808,222,0.96071,23.0,0.96036
244,0,0.95,2,0.56429,36,17,0.96402,16,0.95808,265,0.95808,23.0,0.96036
245,0,0.95,2,0.69286,36,1,0.96071,1,0.96071,7,0.96071,23.0,0.96036
246,0,0.95,2,0.82143,36,15,0.96071,15,0.96071,265,0.95808,23.0,0.96036
247,0,0.95,2,0.95,36,14,0.96071,16,0.96071,222,0.96071,23.0,0.96036
248,0,0.95,3,0.05,36,21,0.96071,34,0.95808,220,0.96071,23.0,0.96036
249,0,0.95,3,0.17857,36,21,0.96071,35,0.95808,221,0.96071,23.0,0.96036
250,0,0.95,3,0.30714,36,22,0.96071,36,0.95808,220,0.96071,23.0,0.96036
251,0,0.95,3,0.43571,36,15,0.96071,15,0.95808,220,0.96071,23.0,0.96036
252,0,0.95,3,0.56429,36,17,0.96402,15,0.96359,265,0.95808,23.0,0.96036
253,0,0.95,3,0.69286,36,1,0.96071,1,0.96071,6,0.96071,23.0,0.96036
254,0,0.95,3,0.82143,36,14,0.96071,15,0.96071,265,0.95808,23.0,0.96036
255,0,0.95,3,0.95,36,15,0.96071,15,0.96071,220,0.96071,23.0,0.96036
256,1,0.05,0,0.05,36,23,0.96071,40,0.9607,219,0.96071,23.0,0.96036
257,1,0.05,0,0.17857,36,16,0.95774,17,0.96062,215,0.96071,23.0,0.96036
258,1,0.05,0,0.30714,36,17,0.95774,15,0.95808,209,0.96071,23.0,0.96036
259,1,0.05,0,0.43571,36,16,0.95774,17,0.96062,266,0.95808,23.0,0.96036
260,1,0.05,0,0.56429,36,18,0.96402,15,0.95808,264,0.95808,23.0,0.96036
261,1,0.05,0,0.69286,36,2,0.96062,3,0.96062,4,0.95808,23.0,0.96036
262,1,0.05,0,0.82143,36,15,0.96071,16,0.96062,267,0.95808,23.0,0.96036
263,1,0.05,0,0.95,36,15,0.96071,42,0.9607,219,0.96071,23.0,0.96036
264,1,0.05,1,0.05,36,15,0.95774,17,0.9607,219,0.96071,23.0,0.96036
265,1,0.05,1,0.17857,36,23,0.96071,19,0.96284,216,0.96071,23.0,0.96036
266,1,0.05,1,0.30714,36,16,0.95774,17,0.9607,210,0.96071,23.0,0.96036
267,1,0.05,1,0.43571,36,17,0.95774,16,0.95808,267,0.95808,23.0,0.96036
268,1,0.05,1,0.56429,36,18,0.96165,18,0.96062,265,0.95808,23.0,0.96036
269,1,0.05,1,0.69286,36,2,0.9607,3,0.9607,4,0.95808,23.0,0.96036
270,1,0.05,1,0.82143,36,15,0.96071,16,0.95808,267,0.95808,23.0,0.96036
271,1,0.05,1,0.95,36,16,0.96071,18,0.9607,219,0.96071,23.0,0.96036
272,1,0.05,2,0.05,36,15,0.95774,14,0.95774,219,0.96071,23.0,0.96036
273,1,0.05,2,0.17857,36,16,0.95774,15,0.95774,270,0.95808,23.0,0.96036
274,1,0.05,2,0.30714,36,15,0.95774,14,0.95774,270,0.95808,23.0,0.96036
275,1,0.05,2,0.43571,36,16,0.95774,15,0.95774,268,0.95808,23.0,0.96036
276,1,0.05,2,0.56429,36,16,0.95808,15,0.95808,265,0.95808,23.0,0.96036
277,1,0.05,2,0.69286,36,1,0.95774,1,0.95774,4,0.95808,23.0,0.96036
278,1,0.05,2,0.82143,36,15,0.96071,17,0.96071,267,0.95808,23.0,0.96036
279,1,0.05,2,0.95,36,14,0.96071,15,0.95774,219,0.96071,23.0,0.96036
280,1,0.05,3,0.05,36,22,0.96071,41,0.9607,219,0.96071,23.0,0.96036
281,1,0.05,3,0.17857,36,22,0.96071,17,0.96284,214,0.96071,23.0,0.96036
282,1,0.05,3,0.30714,36,16,0.95774,15,0.95808,208,0.96071,23.0,0.96036
283,1,0.05,3,0.43571,36,16,0.95774,13,0.95808,265,0.95808,23.0,0.96036
284,1,0.05,3,0.56429,36,16,0.95808,15,0.95808,263,0.95808,23.0,0.96036
285,1,0.05,3,0.69286,36,1,0.95808,1,0.95808,3,0.95808,23.0,0.96036
286,1,0.05,3,0.82143,36,14,0.96071,14,0.95808,265,0.95808,23.0,0.96036
287,1,0.05,3,0.95,36,15,0.96071,17,0.96071,218,0.96071,23.0,0.96036
