,init pf,init block clean threshold,init weighting schema,init matching threshold,search space size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
562,1,0.725,2,0.5,648,14,0.95572,17,0.95572,5,0.96247,24.0,0.96178
563,1,0.725,2,0.6125,648,15,0.95572,17,0.95572,7,0.96247,24.0,0.96178
564,1,0.725,2,0.725,648,1,0.95572,1,0.95572,3,0.96385,24.0,0.96178
565,1,0.725,2,0.8375,648,14,0.96385,19,0.96385,10,0.96247,24.0,0.96178
566,1,0.725,2,0.95,648,14,0.95572,18,0.95572,9,0.96247,24.0,0.96178
567,1,0.725,3,0.05,648,13,0.96385,40,0.96303,7,0.96247,24.0,0.96178
568,1,0.725,3,0.1625,648,27,0.96303,42,0.96303,4,0.96247,24.0,0.96178
569,1,0.725,3,0.275,648,26,0.96303,41,0.96303,4,0.96247,24.0,0.96178
570,1,0.725,3,0.3875,648,15,0.95604,17,0.95604,4,0.96247,24.0,0.96178
571,1,0.725,3,0.5,648,13,0.95604,16,0.95604,4,0.96247,24.0,0.96178
572,1,0.725,3,0.6125,648,15,0.95604,17,0.95604,5,0.96247,24.0,0.96178
573,1,0.725,3,0.725,648,1,0.95604,1,0.95604,2,0.96385,24.0,0.96178
574,1,0.725,3,0.8375,648,13,0.96385,18,0.96385,6,0.96247,24.0,0.96178
575,1,0.725,3,0.95,648,14,0.96385,19,0.96385,6,0.96247,24.0,0.96178
576,1,0.8375,0,0.05,648,27,0.96303,41,0.96303,7,0.96247,24.0,0.96178
577,1,0.8375,0,0.1625,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
578,1,0.8375,0,0.275,648,27,0.96303,42,0.96303,6,0.96247,24.0,0.96178
579,1,0.8375,0,0.3875,648,19,0.96247,19,0.96247,6,0.96247,24.0,0.96178
580,1,0.8375,0,0.5,648,15,0.95019,18,0.95019,6,0.96247,24.0,0.96178
581,1,0.8375,0,0.6125,648,14,0.96247,17,0.96247,8,0.96247,24.0,0.96178
582,1,0.8375,0,0.725,648,3,0.96247,3,0.96247,2,0.96247,24.0,0.96178
583,1,0.8375,0,0.8375,648,14,0.96385,19,0.96385,9,0.96247,24.0,0.96178
