,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
249,4,1,0.95,2,0.35,46,0.98182,1.0,1.0,1.0,0.08907,0.07195
250,4,1,0.95,2,0.65,46,0.98182,1.0,1.0,1.0,0.0813,0.07112
251,4,1,0.95,2,0.95,46,0.98182,1.0,1.0,1.0,0.0,0.04655
252,4,1,0.95,3,0.05,91,0.99091,1.0,1.0,1.0,0.17054,0.12321
253,4,1,0.95,3,0.35,91,0.99091,1.0,1.0,1.0,0.17054,0.12321
254,4,1,0.95,3,0.65,91,0.99091,1.0,1.0,1.0,0.16342,0.12321
255,4,1,0.95,3,0.95,91,0.99091,1.0,1.0,1.0,0.0,0.08194
256,5,0,0.05,0,0.05,18540,0.14904,0.05263,0.07692,0.14286,0.37184,0.04766
257,5,0,0.05,0,0.35,18540,0.14904,0.05263,0.07692,0.14286,0.65097,0.13667
258,5,0,0.05,0,0.65,18540,0.14904,0.05263,0.07692,0.14286,0.9469,0.94664
259,5,0,0.05,0,0.95,18540,0.14904,0.05263,0.07692,0.14286,0.0,0.78393
260,5,0,0.05,1,0.05,25229,0.12972,0.05263,0.07692,0.13333,0.3039,0.03355
261,5,0,0.05,1,0.35,25229,0.12972,0.05263,0.07692,0.13333,0.55847,0.0959
262,5,0,0.05,1,0.65,25229,0.12972,0.05263,0.07692,0.13333,0.94457,0.9468
263,5,0,0.05,1,0.95,25229,0.12972,0.05263,0.07692,0.13333,0.0,0.78327
264,5,0,0.05,2,0.05,24520,0.13068,0.05263,0.07692,0.13333,0.3053,0.03126
265,5,0,0.05,2,0.35,24520,0.13068,0.05263,0.07692,0.13333,0.56057,0.09042
266,5,0,0.05,2,0.65,24520,0.13068,0.05263,0.07692,0.13333,0.94923,0.94603
267,5,0,0.05,2,0.95,24520,0.13068,0.05263,0.07692,0.13333,0.0,0.78393
268,5,0,0.05,3,0.05,19400,0.14514,0.05556,0.08333,0.14286,0.33594,0.03173
269,5,0,0.05,3,0.35,19400,0.14514,0.05556,0.08333,0.14286,0.60281,0.09349
270,5,0,0.05,3,0.65,19400,0.14514,0.05556,0.08333,0.14286,0.94923,0.94542
271,5,0,0.05,3,0.95,19400,0.14514,0.05556,0.08333,0.14286,0.0,0.78393
272,5,0,0.35,0,0.05,3546,0.40491,0.07692,0.16667,1.0,0.66667,0.1385
273,5,0,0.35,0,0.35,3546,0.40491,0.07692,0.16667,1.0,0.85598,0.35479
274,5,0,0.35,0,0.65,3546,0.40491,0.07692,0.16667,1.0,0.89815,0.95472
275,5,0,0.35,0,0.95,3546,0.40491,0.07692,0.16667,1.0,0.0,0.78227
276,5,0,0.35,1,0.05,3737,0.39275,0.07692,0.16667,1.0,0.62997,0.10955
277,5,0,0.35,1,0.35,3737,0.39275,0.07692,0.16667,1.0,0.83401,0.30466
278,5,0,0.35,1,0.65,3737,0.39275,0.07692,0.16667,1.0,0.89044,0.9465
279,5,0,0.35,1,0.95,3737,0.39275,0.07692,0.16667,1.0,0.0,0.77963
280,5,0,0.35,2,0.05,3753,0.38971,0.07143,0.16667,1.0,0.63988,0.10926
281,5,0,0.35,2,0.35,3753,0.38971,0.07143,0.16667,1.0,0.85318,0.30449
282,5,0,0.35,2,0.65,3753,0.38971,0.07143,0.16667,1.0,0.90826,0.94778
283,5,0,0.35,2,0.95,3753,0.38971,0.07143,0.16667,1.0,0.0,0.78095
284,5,0,0.35,3,0.05,2358,0.51748,0.1,0.27273,1.0,0.75826,0.11731
285,5,0,0.35,3,0.35,2358,0.51748,0.1,0.27273,1.0,0.90833,0.32859
286,5,0,0.35,3,0.65,2358,0.51748,0.1,0.27273,1.0,0.91572,0.95022
287,5,0,0.35,3,0.95,2358,0.51748,0.1,0.27273,1.0,0.0,0.78261
288,5,0,0.65,0,0.05,291,0.67769,0.25,1.0,1.0,0.22996,0.45194
289,5,0,0.65,0,0.35,291,0.67769,0.25,1.0,1.0,0.24354,0.72339
290,5,0,0.65,0,0.65,291,0.67769,0.25,1.0,1.0,0.24354,0.92086
291,5,0,0.65,0,0.95,291,0.67769,0.25,1.0,1.0,0.0,0.74755
292,5,0,0.65,1,0.05,291,0.67769,0.25,1.0,1.0,0.22996,0.43606
293,5,0,0.65,1,0.35,291,0.67769,0.25,1.0,1.0,0.24354,0.71065
