,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
291,0,0.95,0,0.3875,0,1.0,1.0,1.0,1.0,0.01666,0.18938
292,0,0.95,0,0.5,0,1.0,1.0,1.0,1.0,0.01666,0.19058
293,0,0.95,0,0.6125,0,1.0,1.0,1.0,1.0,0.01666,0.19204
294,0,0.95,0,0.725,0,1.0,1.0,1.0,1.0,0.0,0.19317
295,0,0.95,0,0.8375,0,1.0,1.0,1.0,1.0,0.0,0.18286
296,0,0.95,0,0.95,0,1.0,1.0,1.0,1.0,0.0,0.14886
297,0,0.95,1,0.05,0,1.0,1.0,1.0,1.0,0.01666,0.20737
298,0,0.95,1,0.1625,0,1.0,1.0,1.0,1.0,0.01666,0.21894
299,0,0.95,1,0.275,0,1.0,1.0,1.0,1.0,0.01666,0.22324
300,0,0.95,1,0.3875,0,1.0,1.0,1.0,1.0,0.01666,0.23044
