,q-gram size,blocking threshold,match threshold,precision,recall,f-score,acc
378,4,0.3,0.89,0.9955,0.69694,0.81989,0.94919
379,5,0.3,0.89,0.99569,0.72662,0.84014,0.91175
380,4,0.3,0.9,0.99548,0.69379,0.8177,0.94867
381,5,0.3,0.9,0.99567,0.72302,0.83772,0.9106
382,4,0.3,0.91,0.99528,0.66367,0.79633,0.94367
383,5,0.3,0.91,0.99548,0.69245,0.81676,0.90085
384,4,0.3,0.92,0.99512,0.64209,0.78054,0.94009
385,5,0.3,0.92,0.99533,0.67041,0.80118,0.89382
386,4,0.3,0.93,0.99639,0.62095,0.76509,0.93674
387,5,0.3,0.93,0.99655,0.65018,0.78694,0.88765
388,4,0.3,0.94,0.99771,0.58768,0.73967,0.93136
389,5,0.3,0.94,0.99781,0.61421,0.76037,0.87645
390,4,0.3,0.95,0.99842,0.56879,0.72472,0.9283
391,5,0.3,0.95,0.99849,0.59577,0.74627,0.87071
392,4,0.3,0.96,0.99835,0.54362,0.70393,0.92413
393,5,0.3,0.96,0.99843,0.57059,0.72618,0.86268
394,4,0.3,0.97,0.99828,0.52203,0.68556,0.92055
395,5,0.3,0.97,0.99836,0.54766,0.70732,0.85536
396,4,0.3,0.98,0.99825,0.51214,0.67697,0.9189
397,5,0.3,0.98,0.99833,0.53777,0.69901,0.8522
398,4,0.3,0.99,0.99824,0.51079,0.67579,0.91868
399,5,0.3,0.99,0.99833,0.53642,0.69787,0.85177
400,4,0.35,0.0,0.22149,0.83408,0.35003,0.21215
401,5,0.35,0.0,0.39934,0.8768,0.54875,0.37813
402,4,0.35,0.01,0.29809,0.83408,0.43921,0.45826
403,5,0.35,0.01,0.47376,0.8768,0.61514,0.52686
404,4,0.35,0.02,0.35033,0.83408,0.49342,0.56439
405,5,0.35,0.02,0.52433,0.8768,0.65623,0.60384
406,4,0.35,0.03,0.42226,0.83408,0.56067,0.66754
407,5,0.35,0.03,0.58895,0.8768,0.70461,0.68296
408,4,0.35,0.04,0.48132,0.83408,0.6104,0.72919
409,5,0.35,0.04,0.64698,0.8768,0.74456,0.74055
410,4,0.35,0.05,0.52819,0.83408,0.64679,0.7683
411,5,0.35,0.05,0.69198,0.8768,0.7735,0.77855
412,4,0.35,0.06,0.56315,0.83408,0.67235,0.79323
413,5,0.35,0.06,0.72115,0.8768,0.79139,0.80066
414,4,0.35,0.07,0.59398,0.83408,0.69385,0.81279
415,5,0.35,0.07,0.74971,0.8768,0.80829,0.82063
416,4,0.35,0.08,0.6106,0.83408,0.70505,0.82251
417,5,0.35,0.08,0.76802,0.8768,0.81881,0.83265
418,4,0.35,0.09,0.6229,0.83408,0.71319,0.82937
419,5,0.35,0.09,0.77907,0.8768,0.82505,0.83964
420,4,0.35,0.1,0.63419,0.83408,0.72053,0.83543
421,5,0.35,0.1,0.78756,0.8768,0.82979,0.84487
422,4,0.35,0.11,0.63855,0.83408,0.72333,0.83772
423,5,0.35,0.11,0.79075,0.8768,0.83155,0.84681
424,4,0.35,0.12,0.64432,0.83408,0.72702,0.84069
425,5,0.35,0.12,0.79722,0.8768,0.83512,0.85069
426,4,0.35,0.13,0.6477,0.83408,0.72917,0.84241
427,5,0.35,0.13,0.79885,0.8768,0.83601,0.85166
428,4,0.35,0.14,0.65042,0.83408,0.73089,0.84378
429,5,0.35,0.14,0.80346,0.8768,0.83853,0.85437
430,4,0.35,0.15,0.65501,0.83408,0.73378,0.84607
431,5,0.35,0.15,0.80745,0.8768,0.8407,0.8567
