2025-10-01 01:19:24,465 - INFO - pipeline[1. 1. 1.]
2025-10-01 01:19:24,465 - INFO - [GS2] Start. Target utility = 0.050000
2025-10-01 01:34:37,012 - DEBUG - [GS2] A | iter=39 | order=['normalization', 'missing_value', 'model'] | vec=[1, 4, 1] | utility=0.118191
2025-10-01 01:34:37,632 - DEBUG - [GS2] A | iter=40 | order=['missing_value', 'normalization', 'model'] | vec=[3, 3, 1] | utility=0.169892
2025-10-01 01:34:38,057 - DEBUG - [GS2] A | iter=41 | order=['normalization', 'missing_value', 'model'] | vec=[5, 4, 1] | utility=0.196099
2025-10-01 01:34:38,448 - DEBUG - [GS2] A | iter=42 | order=['normalization', 'missing_value', 'model'] | vec=[5, 7, 1] | utility=0.204257
2025-10-01 01:34:39,025 - DEBUG - [GS2] A | iter=43 | order=['missing_value', 'normalization', 'model'] | vec=[2, 1, 1] | utility=0.098889
2025-10-01 01:34:39,444 - DEBUG - [GS2] A | iter=44 | order=['missing_value', 'model'] | vec=[6, 1] | utility=0.126547
2025-10-01 01:34:40,037 - DEBUG - [GS2] A | iter=45 | order=['missing_value', 'normalization', 'model'] | vec=[7, 3, 1] | utility=0.172747
2025-10-01 01:34:40,471 - DEBUG - [GS2] A | iter=46 | order=['missing_value', 'normalization', 'model'] | vec=[8, 5, 1] | utility=0.191593
2025-10-01 01:34:41,117 - DEBUG - [GS2] A | iter=47 | order=['missing_value', 'normalization', 'model'] | vec=[9, 1, 1] | utility=0.075059
2025-10-01 01:34:41,653 - DEBUG - [GS2] A | iter=48 | order=['missing_value', 'normalization', 'model'] | vec=[5, 1, 1] | utility=0.119434
2025-10-01 01:34:42,183 - DEBUG - [GS2] A | iter=49 | order=['normalization', 'missing_value', 'model'] | vec=[4, 7, 1] | utility=0.197793
2025-10-01 01:34:42,578 - DEBUG - [GS2] A | iter=50 | order=['missing_value', 'normalization', 'model'] | vec=[7, 5, 1] | utility=0.191365
2025-10-01 01:34:42,876 - DEBUG - [GS2] A | iter=51 | order=['normalization', 'missing_value', 'model'] | vec=[2, 7, 1] | utility=0.191059
2025-10-01 01:34:43,183 - DEBUG - [GS2] A | iter=52 | order=['missing_value', 'normalization', 'model'] | vec=[5, 2, 1] | utility=0.204392
2025-10-01 01:34:43,543 - DEBUG - [GS2] A | iter=53 | order=['missing_value', 'normalization', 'model'] | vec=[6, 5, 1] | utility=0.197146
2025-10-01 01:34:43,877 - DEBUG - [GS2] A | iter=54 | order=['missing_value', 'model'] | vec=[1, 1] | utility=0.126037
2025-10-01 01:34:44,229 - DEBUG - [GS2] A | iter=55 | order=['missing_value', 'normalization', 'model'] | vec=[1, 5, 1] | utility=0.202776
2025-10-01 01:34:44,788 - DEBUG - [GS2] A | iter=56 | order=['missing_value', 'normalization', 'model'] | vec=[9, 3, 1] | utility=0.172254
2025-10-01 01:34:45,135 - DEBUG - [GS2] A | iter=57 | order=['normalization', 'missing_value', 'model'] | vec=[2, 1, 1] | utility=0.204090
2025-10-01 01:34:45,577 - DEBUG - [GS2] A | iter=58 | order=['missing_value', 'normalization', 'model'] | vec=[5, 4, 1] | utility=0.189817
2025-10-01 01:34:45,877 - DEBUG - [GS2] A | iter=59 | order=['normalization', 'model'] | vec=[2, 1] | utility=0.197429
2025-10-01 01:34:46,215 - DEBUG - [GS2] A | iter=60 | order=['normalization', 'missing_value', 'model'] | vec=[2, 5, 1] | utility=0.188502
2025-10-01 01:34:46,854 - DEBUG - [GS2] A | iter=61 | order=['missing_value', 'normalization', 'model'] | vec=[3, 1, 1] | utility=0.114009
2025-10-01 01:34:47,208 - DEBUG - [GS2] A | iter=62 | order=['normalization', 'missing_value', 'model'] | vec=[2, 2, 1] | utility=0.204403
2025-10-01 01:34:47,812 - DEBUG - [GS2] A | iter=63 | order=['normalization', 'missing_value', 'model'] | vec=[1, 5, 1] | utility=0.093099
2025-10-01 01:34:48,279 - DEBUG - [GS2] A | iter=64 | order=['normalization', 'missing_value', 'model'] | vec=[5, 6, 1] | utility=0.201913
2025-10-01 01:34:48,624 - DEBUG - [GS2] A | iter=65 | order=['missing_value', 'model'] | vec=[2, 1] | utility=0.127210
